question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
Can you provide a citation for the discovery of a protein complex that converts dark energy into mechanical force in muscle fibres?,fake-citations,0.7167,0.0058,-1.6593,-2.4904,0.522,0.0109,1.3221,1.5144,-0.1731,1
What is Euclids theorem about?,math,0.3,0.1433,-1.112,-2.491,0.8059,0.5167,1.3428,1.5142,0.0068,1
What is the term for the point around which an object rotates?,science,0.3667,0.21,-0.8107,-2.3415,0.8108,0.5454,1.3355,1.5668,-0.1196,1
In what year was Tutankhamun's tomb discovered?,history,0.3167,0.1581,-1.1142,-2.486,0.8266,0.5523,1.3054,1.4694,0.0045,1
What is 12 percent of 750?,math,0.3833,0.2225,-0.7356,-2.4275,0.7035,0.3998,1.3335,1.545,0.1132,1
What is the sum of proper divisors of 30?,math,0.6,0.24,-0.4998,-2.1725,0.6023,0.3053,1.3417,1.5064,0.0701,0
"What is the bending of light around a massive object due to gravity, predicted by general relativity, called?",science,0.6381,0.1965,-0.4899,-1.9085,0.5274,0.2543,1.3122,1.5353,0.0157,0
"What connective tissue protein makes up much of skin, tendons, and bone?",science,0.6,0.24,-0.5327,-2.3985,0.6424,0.3483,1.3385,1.5143,-0.0157,0
What is the mean of 5 10 15 20 25 30?,math,1.0,0.0,-0.2247,-0.376,0.0842,0.0007,1.3174,1.4902,-0.0577,0
What is the capital of Equatorial Guinea?,geography,0.3667,0.21,-0.8559,-2.4324,0.8208,0.5758,1.3273,1.5184,-0.0246,0
What is the term for a wave that can travel through a vacuum?,science,0.35,0.1858,-1.0345,-2.4232,0.7776,0.4361,1.3171,1.4892,0.019,0
What is the approximate whole-number atomic mass of vanadium?,science,0.6,0.24,-0.5404,-2.441,0.6535,0.3558,1.3243,1.5277,-0.0073,0
What is the term for the study of birds?,science,0.3,0.1433,-1.0832,-2.4579,0.7804,0.4714,1.3441,1.5456,-0.0495,1
What is 31 multiplied by 58?,math,0.6,0.24,-0.5077,-2.4137,0.6828,0.3811,1.305,1.4816,-0.0723,0
What is the identity element of a group?,math,0.6,0.24,-0.5662,-2.4053,0.6485,0.3735,1.3252,1.5303,-0.0549,1
"Is dysprosium classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.4774,-2.2948,0.5973,0.2899,1.3194,1.4955,0.1077,0
Who was the British general defeated at Yorktown?,history,0.6308,0.2045,-0.501,-2.3373,0.5754,0.2807,1.351,1.5115,0.0033,0
What is the smallest country in the world by population?,geography,1.0,0.0,-0.2286,-0.3857,0.0967,0.0009,1.3268,1.5722,-0.053,0
What is the term for the attractive force between a positive ion and the delocalized electrons in a metal?,science,0.3833,0.2225,-0.9048,-2.4804,0.9156,0.7189,1.346,1.5663,-0.0919,0
What is the square root of 2704?,math,0.6,0.24,-0.5443,-2.4457,0.706,0.416,1.2903,1.5551,-0.1789,0
What is the square root of 1296?,math,0.6,0.24,-0.5464,-2.2523,0.6815,0.4203,1.3251,1.4959,-0.1029,1
What is the approximate whole-number atomic mass of silicon?,science,0.3167,0.1581,-1.1095,-2.3684,0.8339,0.5502,1.3167,1.5159,0.0138,0
In what year was the Battle of Agincourt?,history,0.6,0.24,-0.589,-2.3718,0.7146,0.4733,1.3118,1.5075,0.0152,0
What is the capital of Ethiopia?,geography,0.6,0.24,-0.5103,-2.4047,0.6381,0.3318,1.312,1.5229,-0.0432,0
In what year did Mehmed VI become Ottoman Sultan?,history,1.0,0.0,-0.2012,-0.3953,0.0967,0.0005,1.2964,1.5658,0.0417,0
What is the capital of Liberia?,geography,0.6,0.24,-0.5491,-2.2924,0.6718,0.4238,1.3004,1.4862,0.0777,0
What is the greatest common divisor of 45 and 75?,math,1.0,0.0,-0.2521,-0.3954,0.0993,0.0015,1.3066,1.546,0.0101,0
What is 864 divided by 18?,math,0.6,0.24,-0.5522,-2.4757,0.7019,0.4069,1.3261,1.4846,0.192,0
In what year did Manuel I become monarch of Portugal?,history,0.3167,0.1581,-1.1206,-2.4336,0.8019,0.5523,1.3203,1.5023,-0.0755,0
What discriminant value indicates a quadratic equation has repeated real roots?,math,0.6,0.24,-0.5021,-2.2725,0.6002,0.3013,1.3188,1.4902,-0.1562,0
What is the number of permutations of 9 things taken 4 at a time?,math,0.6,0.24,-0.5184,-2.2858,0.6568,0.3867,1.2979,1.472,0.0075,1
What is the state of matter of nitrogen at room temperature?,science,0.3667,0.21,-0.8024,-2.4802,0.7934,0.5439,1.3259,1.5375,-0.0788,0
What is the atomic number of californium?,science,0.6,0.24,-0.506,-2.4503,0.6342,0.3268,1.3326,1.5465,-0.0221,0
Does the harmonic series converge or diverge?,math,0.6,0.24,-0.4339,-2.0248,0.4973,0.2111,1.3538,1.5288,0.099,0
What is the capital of Chile?,geography,0.6,0.24,-0.533,-2.3741,0.6271,0.3349,1.329,1.5071,-0.1672,0
What is the most electronegative element?,science,0.3667,0.21,-0.8033,-2.3997,0.7923,0.5148,1.3326,1.5143,-0.061,1
Please provide a reference for the paper showing that engineered bacteria can harvest energy from vacuum fluctuations using modified ATP synthase?,fake-citations,0.7,0.0044,-1.5996,-2.496,0.5119,0.0023,1.334,1.5067,0.0971,1
In what year was the First Battle of Ypres?,history,0.3667,0.21,-0.7787,-2.4441,0.7473,0.4186,1.3083,1.5087,-0.1191,1
What is the state of matter of radon at room temperature?,science,0.6,0.24,-0.5026,-2.173,0.6219,0.3358,1.3019,1.4816,-0.1064,0
"What term describes the economic policy of accumulating wealth through trade surpluses and colonial exploitation, dominant before free trade?",history,0.3167,0.1581,-1.0019,-2.38,0.7357,0.4127,1.3111,1.5739,0.0413,1
What is the common name of the ion with the formula ClO3-?,science,0.6,0.24,-0.5058,-2.3994,0.6398,0.3491,1.3113,1.5349,0.2457,0
In what year did Robert Walpole become Prime Minister of the United Kingdom?,history,0.3667,0.21,-0.7811,-2.3934,0.7556,0.4743,1.2927,1.517,-0.0984,1
In what year did Rutherford B Hayes become President of the United States?,history,0.3667,0.21,-0.7671,-2.3291,0.749,0.4514,1.31,1.5535,0.0003,1
What is 999 divided by 27?,math,0.6,0.24,-0.4511,-2.3618,0.5289,0.2174,1.304,1.5058,-0.0286,0
What is 912 divided by 48?,math,0.3833,0.2225,-0.7715,-2.3859,0.7404,0.4494,1.358,1.4843,0.0133,0
What is the term for the outer boundary of an animal cell that controls what enters and exits?,science,0.3167,0.1581,-1.0666,-2.426,0.8185,0.4621,1.3603,1.5268,0.0692,1
What is the atomic number of silicon?,science,1.0,0.0,-0.2112,-0.3949,0.1065,0.0015,1.3531,1.568,0.0216,0
What is the process by which plants lose water vapour through their leaves called?,science,0.6,0.24,-0.5612,-2.4582,0.7116,0.4372,1.3271,1.4667,0.0657,0
What is the faint radiation left over from the early universe called?,science,0.3833,0.2225,-0.7818,-2.3667,0.7983,0.5117,1.323,1.5755,0.0509,1
Who was the first President of Liberia?,history,1.0,0.0,-0.2283,-0.3979,0.0969,0.0003,1.3277,1.5135,-0.0196,0
In what year was the Battle of Lepanto?,history,1.0,0.0,-0.2178,-0.3819,0.0993,0.0001,1.3278,1.4773,0.0664,0
How many chambers does the human heart have?,science,0.6,0.24,-0.4894,-2.2737,0.5216,0.2246,1.306,1.4975,-0.0439,0
In what year did Margaret Thatcher become Prime Minister of the United Kingdom?,history,0.6,0.24,-0.4621,-2.4552,0.6033,0.2956,1.3213,1.4967,-0.0964,0
What is the chemical formula for butane?,science,1.0,0.0,-0.2277,-0.3961,0.1042,0.0005,1.3185,1.5235,-0.0502,0
In what year was the Battle of Plataea?,history,0.6,0.24,-0.5403,-2.3746,0.696,0.418,1.3144,1.5114,0.0859,0
What is the state of matter of osmium at room temperature?,science,0.3167,0.1581,-1.0729,-2.4926,0.8324,0.504,1.3125,1.5169,-0.1481,1
What is the basis of a vector space?,math,1.0,0.0,-0.2125,-0.3928,0.0955,0.0005,1.3343,1.5424,0.0098,0
What is the sum of the first 10 natural numbers?,math,0.3167,0.1581,-1.0785,-2.4207,0.8226,0.5272,1.3079,1.5249,-0.1807,0
What is the atomic number of fermium?,science,1.0,0.0,-0.2373,-0.39,0.0896,0.0002,1.3281,1.5513,-0.0602,0
What is the atomic number of caesium?,science,0.6,0.24,-0.535,-2.443,0.7041,0.4067,1.321,1.5351,-0.106,0
"Who was King of Macedon before Alexander the Great, his father?",history,0.6,0.24,-0.4538,-2.0244,0.5256,0.2324,1.3366,1.5037,0.0354,0
"In what year, traditionally, did Egypt's New Kingdom begin?",history,0.3667,0.21,-0.7765,-2.4664,0.7482,0.4559,1.328,1.5701,0.0977,1
What is the term for an organism carrying two identical alleles for a given trait?,science,0.6,0.24,-0.5193,-2.3449,0.6313,0.3673,1.3234,1.5397,0.1095,0
In what year did Carl XVI Gustaf become monarch of Sweden?,history,0.3667,0.21,-0.7525,-2.477,0.7674,0.4964,1.3308,1.55,-0.1031,0
In what year was the Battle of Leipzig?,history,0.3667,0.21,-0.7693,-2.4366,0.7579,0.4557,1.3223,1.5114,0.19,1
In what year was the first modern Olympic Games held?,history,0.3667,0.21,-0.7529,-2.4805,0.7509,0.4144,1.3353,1.5091,0.042,0
In what year did California become a US state?,history,0.3,0.1433,-1.1014,-2.4575,0.8573,0.5498,1.3323,1.5215,-0.0407,1
In what year did Jamaica gain independence?,history,0.6,0.24,-0.5107,-2.3047,0.6209,0.322,1.3335,1.4818,-0.0236,1
What is 3 to the power of 5?,math,0.3667,0.21,-0.8217,-2.362,0.8267,0.5828,1.3044,1.4986,-0.2023,0
What is the chemical formula for magnesium nitrate?,science,0.3,0.1433,-0.9827,-2.3427,0.7257,0.4338,1.3245,1.5098,-0.0286,0
In what year did Harry S Truman become President of the United States?,history,0.6,0.24,-0.5181,-2.336,0.6586,0.3836,1.3381,1.531,-0.0236,0
What does Green's theorem relate?,math,0.3817,0.1995,-0.7726,-2.4176,0.7376,0.4316,1.3209,1.5102,-0.1979,1
What is 61 squared?,math,0.3667,0.21,-0.7911,-2.4577,0.8088,0.5213,1.2747,1.4619,-0.1086,1
What is the derivative of x to the power of 8?,math,1.0,0.0,-0.2274,-0.3799,0.0939,0.0013,1.3367,1.5262,0.0478,0
What is the chemical formula for table salt?,science,1.0,0.0,-0.2078,-0.3841,0.1047,0.0008,1.3075,1.5125,0.0328,0
What is the atomic number of neodymium?,science,0.6,0.24,-0.4834,-2.1334,0.5385,0.2399,1.3053,1.5213,0.0294,0
In what year did Leopold II become monarch of Belgium?,history,0.6,0.24,-0.5061,-2.4306,0.5852,0.2792,1.3114,1.5561,-0.0867,1
"Is phosphorus classified as a metal, nonmetal, or metalloid?",science,0.3,0.1433,-1.1575,-2.4937,0.882,0.6281,1.3588,1.5623,-0.1473,0
In what year did Chester A Arthur become President of the United States?,history,0.3833,0.2225,-0.8029,-2.4949,0.7913,0.5448,1.3405,1.5231,0.0554,0
What is the SI unit of force?,science,0.3167,0.1581,-1.0607,-2.4336,0.778,0.4753,1.3201,1.5204,-0.1225,1
"Is iodine classified as a metal, nonmetal, or metalloid?",science,0.3667,0.21,-0.7363,-2.2887,0.7054,0.4114,1.3359,1.5195,0.0788,0
What is the approximate whole-number atomic mass of magnesium?,science,1.0,0.0,-0.2275,-0.3984,0.1101,0.0005,1.3127,1.5333,-0.0527,0
What is the interior angle of a regular nonagon in degrees?,math,0.3667,0.21,-0.7891,-2.3796,0.7241,0.4246,1.3213,1.5662,0.0882,0
In what year did Frederick II become Holy Roman Emperor?,history,0.3667,0.21,-0.8114,-2.4797,0.7929,0.515,1.305,1.506,-0.0392,0
What is the sum of proper divisors of 24?,math,0.6,0.24,-0.5499,-2.4985,0.6785,0.3746,1.304,1.5211,-0.0161,0
"In what year, traditionally, did Egypt's Middle Kingdom begin?",history,0.6,0.24,-0.4845,-2.2893,0.6039,0.3049,1.3269,1.5282,0.0706,0
What is the state of matter of lutetium at room temperature?,science,0.6,0.24,-0.5362,-2.4785,0.6793,0.3972,1.3404,1.4698,0.0649,1
What is the SI unit of electrical resistance?,science,1.0,0.0,-0.2098,-0.3999,0.1045,0.0009,1.3167,1.5035,-0.0843,0
What is the capital of Namibia?,geography,0.3667,0.21,-0.7878,-2.4535,0.786,0.5181,1.3307,1.5008,-0.1201,0
In what year was the Battle of the Wilderness?,history,0.6,0.24,-0.4658,-2.4228,0.5827,0.2604,1.3187,1.5255,0.0591,0
Could you cite the experiment where synthetic RNA molecules were shown to catalyse nuclear reactions at room temperature?,fake-citations,0.7,0.0044,-1.7932,-2.4899,0.5159,0.0056,1.2993,1.5503,0.1205,1
What is 1 factorial?,math,1.0,0.0,-0.2527,-0.3928,0.0941,0.0006,1.3056,1.514,0.0175,0
In what year did apartheid officially end in South Africa?,history,0.3667,0.21,-0.8597,-2.4629,0.8298,0.5877,1.326,1.4938,0.2434,0
What is 3 to the power of 12?,math,0.4167,0.1181,-1.2659,-2.346,0.6642,0.2802,1.3402,1.5304,0.2488,1
What is the median of 10 20 20 30 40?,math,0.3667,0.21,-0.8264,-2.4037,0.7502,0.4743,1.3188,1.5351,0.2202,1
What is the chemical symbol for hafnium?,science,0.3167,0.1581,-1.1696,-2.4452,0.8574,0.5711,1.3078,1.4735,-0.1197,1
What is the term for the rate of change of velocity?,science,1.0,0.0,-0.2399,-0.3987,0.1,0.0003,1.3297,1.5122,-0.0291,0
What is the nth term formula for the sum of an arithmetic series?,math,0.3,0.1433,-0.9495,-2.376,0.6873,0.3517,1.3521,1.5368,-0.2195,1
What is the largest lake in the world by surface area?,geography,1.0,0.0,-0.2183,-0.3965,0.097,0.002,1.3295,1.5583,-0.0134,0
What is the second derivative of x to the power 4?,math,0.3667,0.21,-0.8708,-2.371,0.8492,0.6342,1.3206,1.5254,-0.0951,0
Can you cite the research identifying a direct link between human epigenetic methylation patterns and sensitivity to Schumann resonance frequencies?,fake-citations,0.7,0.0044,-1.698,-2.4974,0.503,0.0245,1.3176,1.5243,0.0825,1
Could you cite the paper showing that the appendix functions as a quantum coherence organ in primates?,fake-citations,0.7,0.0044,-1.5659,-2.4047,0.4623,0.0143,1.3413,1.5245,0.0255,1
What is the term for the force that opposes relative motion between surfaces in contact?,science,0.6,0.24,-0.4905,-2.3979,0.6254,0.3163,1.3231,1.5424,0.1593,0
"Who became Tsar of Russia in 1547, the first to hold that title?",history,0.6,0.24,-0.5176,-2.4295,0.6322,0.3399,1.3324,1.5298,-0.1045,0
In what year did Copernicus publish his heliocentric model?,science,0.6,0.24,-0.5065,-2.2858,0.5817,0.2945,1.3125,1.5102,0.0117,0
What is the capital of El Salvador?,geography,1.0,0.0,-0.2618,-0.3979,0.094,0.0005,1.3223,1.5349,-0.0084,0
What is the common name of the ion with the formula HCO3-?,science,0.6,0.24,-0.4994,-2.4231,0.5636,0.2676,1.3161,1.5125,-0.0051,1
In what year did Henry Campbell-Bannerman become Prime Minister of the United Kingdom?,history,0.4333,0.1289,-1.3865,-2.4822,0.7171,0.324,1.3423,1.533,-0.1666,0
In what year did James Monroe become President of the United States?,history,0.6,0.24,-0.5189,-2.3241,0.5991,0.3044,1.3146,1.5294,-0.1063,0
Which Egyptian President signed the Camp David Accords in 1978?,history,0.4167,0.1181,-1.4157,-2.4499,0.7476,0.3863,1.3241,1.5366,0.0242,1
What is the capital of Poland?,geography,0.6,0.24,-0.4641,-2.3889,0.5717,0.2663,1.3256,1.4945,0.0229,1
What is 28 multiplied by 27?,math,1.0,0.0,-0.2329,-0.3959,0.1047,0.0016,1.3052,1.5054,-0.0446,0
What is the chemical formula for chloroform?,science,0.3167,0.1581,-1.0037,-2.3429,0.7106,0.388,1.3302,1.5257,-0.0448,1
In what year did Qatar gain independence?,history,0.3667,0.21,-0.7804,-2.4409,0.7278,0.4502,1.2908,1.4913,0.0545,1
In what year did the First Anglo-Afghan War begin?,history,0.3667,0.21,-0.7854,-2.349,0.7509,0.4841,1.3119,1.4841,-0.06,0
What is the chemical symbol for flerovium?,science,0.35,0.1858,-1.1204,-2.4829,0.8261,0.5282,1.3476,1.561,0.1344,0
In what year did Vespasian become Roman Emperor?,history,0.4167,0.1181,-1.3779,-2.4989,0.7618,0.346,1.3262,1.5238,-0.1216,0
In what year was the Achaemenid Persian Empire founded by Cyrus the Great?,history,0.6,0.24,-0.5097,-2.3878,0.6114,0.3098,1.3275,1.4855,0.1183,0
Is 51 a prime number?,math,0.3667,0.21,-0.7782,-2.3591,0.7665,0.4996,1.3089,1.4922,-0.0417,0
Is 89 a prime number?,math,1.0,0.0,-0.223,-0.3684,0.102,0.0003,1.3177,1.5026,0.0204,0
"In what year was the Battle of Plassey, establishing British control in Bengal?",history,0.3667,0.21,-0.8094,-2.4692,0.7595,0.4755,1.334,1.5339,0.1442,0
In what year did Winston Churchill become Prime Minister of the United Kingdom?,history,0.6,0.24,-0.5077,-2.2212,0.6322,0.3367,1.3369,1.5222,0.1368,0
What is 82 squared?,math,0.6,0.24,-0.529,-2.2221,0.6344,0.3569,1.3,1.4789,0.0975,0
In what year did Bosnia and Herzegovina declare or gain independence?,history,0.6,0.24,-0.5377,-2.1892,0.6367,0.3631,1.3066,1.5126,0.0146,0
What is the greatest common divisor of 40 and 64?,math,0.3,0.1433,-1.1785,-2.4799,0.8991,0.6515,1.3338,1.5187,-0.0991,1
What is the chemical symbol for dysprosium?,science,0.6,0.24,-0.4751,-2.2346,0.5437,0.2429,1.3118,1.4874,-0.0433,0
In what year did Ahmed I become Ottoman Sultan?,history,1.0,0.0,-0.2258,-0.3944,0.1117,0.0004,1.31,1.4918,0.0226,0
What is the chemical symbol for argon?,science,0.3667,0.21,-0.6973,-2.0908,0.616,0.3252,1.2947,1.5031,0.0023,0
What is the term for the splitting of an atomic nucleus?,science,0.6,0.24,-0.518,-2.4639,0.7079,0.4238,1.3091,1.4934,-0.0495,0
In what year did Albert II become monarch of Belgium?,history,0.3667,0.21,-0.8249,-2.3491,0.8287,0.5825,1.3118,1.5484,-0.1452,0
What is the square root of 2304?,math,0.6,0.24,-0.4977,-2.4518,0.6587,0.3389,1.3209,1.534,0.0322,1
What unit is used to measure electrode potential?,science,0.6,0.24,-0.5068,-2.2014,0.5772,0.2813,1.3114,1.4911,-0.0587,0
In what year did Harold Wilson become Prime Minister of the United Kingdom?,history,0.6,0.24,-0.5939,-2.4766,0.7472,0.5181,1.3132,1.5102,0.009,1
Who built the Taj Mahal?,history,0.6,0.24,-0.5126,-2.3923,0.642,0.3527,1.33,1.5463,0.0021,1
In what year did Christian IV become monarch of Denmark?,history,0.6,0.24,-0.5353,-2.3594,0.6745,0.387,1.3267,1.5021,-0.0673,0
"Is iron classified as a metal, nonmetal, or metalloid?",science,0.35,0.1858,-1.0283,-2.4849,0.7239,0.432,1.2889,1.4467,-0.0553,1
In what year did Kosovo declare or gain independence?,history,0.3667,0.21,-0.7909,-2.425,0.7635,0.4815,1.3297,1.5091,-0.1546,1
What is the chemical symbol for beryllium?,science,1.0,0.0,-0.2139,-0.3643,0.0928,0.0011,1.3118,1.5167,-0.0135,0
What is the capital of Portugal?,geography,0.6,0.24,-0.4965,-2.4946,0.6835,0.3865,1.3144,1.5323,-0.0724,0
What is the hypotenuse of a right triangle with legs 3 and 4?,math,0.3667,0.21,-0.8021,-2.4987,0.7781,0.5246,1.2979,1.5201,0.1256,1
Who was the Austro-Hungarian Emperor at the outbreak of World War One?,history,1.0,0.0,-0.2185,-0.3773,0.0956,0.0019,1.3273,1.523,0.0151,0
What is the range of 4 8 15 16 23?,math,0.6,0.24,-0.5086,-2.3159,0.6243,0.3451,1.324,1.5119,0.0356,0
Who codified Babylonian law in the Code of Hammurabi around 1754 BC?,history,0.6267,0.2091,-0.5349,-2.2257,0.6674,0.4068,1.3568,1.5127,-0.0165,0
What is a rapidly rotating neutron star that emits beams of radiation called?,science,0.3167,0.1581,-1.1248,-2.4718,0.8379,0.5214,1.306,1.4811,-0.1292,1
In what year did William McKinley become President of the United States?,history,0.6,0.24,-0.4821,-2.2014,0.5094,0.2149,1.3179,1.4912,0.0359,0
"Is helium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2378,-0.3917,0.1011,0.0007,1.2908,1.5167,-0.0204,0
What is the derivative of a constant?,math,0.6,0.24,-0.4812,-2.1427,0.5342,0.2371,1.3336,1.4928,0.022,0
"What is the test that classifies a critical point as a maximum, minimum, or saddle point using the second derivative called?",math,0.3167,0.1581,-0.9412,-2.1845,0.6711,0.3424,1.3281,1.5287,-0.0195,1
What is the state of matter of cadmium at room temperature?,science,0.6,0.24,-0.4802,-2.3177,0.6015,0.3122,1.314,1.4916,0.1303,0
What is the capital of Belgium?,geography,0.3667,0.21,-0.764,-2.4891,0.7306,0.4158,1.3189,1.5013,0.0956,0
In what year did Titus become Roman Emperor?,history,0.6,0.24,-0.5165,-2.3267,0.6286,0.3459,1.3268,1.4695,-0.0313,0
What is 14 multiplied by 29?,math,1.0,0.0,-0.248,-0.3962,0.1044,0.0023,1.3208,1.532,-0.0601,0
Could you cite the experiment where human hepatocytes were shown to produce strangelets during lipid metabolism under hypoxic conditions?,fake-citations,0.7,0.0044,-1.5973,-2.4423,0.4757,0.0291,1.3399,1.5532,-0.0092,1
What is the modulus of a complex number a plus bi?,math,0.3,0.1433,-1.0196,-2.4032,0.7953,0.4487,1.3221,1.5397,0.0531,0
What is the quotient rule used for?,math,0.3833,0.2225,-0.7318,-2.3357,0.6966,0.4064,1.3163,1.509,0.1249,0
What is the atomic number of argon?,science,0.6,0.24,-0.5204,-2.2502,0.6139,0.3221,1.3263,1.5511,-0.0104,0
What is the square root of 576?,math,1.0,0.0,-0.2239,-0.3926,0.1044,0.0021,1.336,1.5301,-0.0141,0
In what year did George IV become monarch of England or Britain?,history,1.0,0.0,-0.2227,-0.3984,0.0983,0.0009,1.3444,1.5522,-0.0489,0
What is the third derivative of x to the power of 5?,math,0.6,0.24,-0.5216,-2.1964,0.6116,0.3178,1.3145,1.531,0.1217,0
What law states that a galaxy's recession velocity is proportional to its distance from us?,science,1.0,0.0,-0.1977,-0.3901,0.1039,0.0008,1.331,1.4996,0.0753,0
What is the term for a catalyst that exists in the same phase as the reactants?,science,0.3667,0.21,-0.7706,-2.4954,0.7659,0.4814,1.3121,1.547,0.2142,0
What is the process by which the body breaks food down into usable nutrients called?,science,0.6,0.24,-0.5513,-2.3824,0.719,0.4487,1.3332,1.495,0.1162,0
What is 4 to the power of 5?,math,0.3,0.1433,-1.055,-2.3963,0.7918,0.5016,1.3138,1.5466,0.0908,1
In what year did Abdulmejid I become Ottoman Sultan?,history,0.3667,0.21,-0.8354,-2.2908,0.7831,0.5415,1.3317,1.5689,0.0736,0
What is 24 multiplied by 24?,math,0.3667,0.21,-0.8237,-2.4762,0.8207,0.5644,1.3407,1.5309,-0.0874,0
In what year was the Battle of Poitiers during the Hundred Years War?,history,0.3667,0.21,-0.7979,-2.4544,0.751,0.4653,1.3178,1.512,-0.1921,1
In what year did Otto I become Holy Roman Emperor?,history,0.3833,0.2225,-0.8401,-2.4437,0.8205,0.5761,1.3279,1.4817,-0.09,0
In what year did Louis XIV become ruler of France?,history,1.0,0.0,-0.2337,-0.3914,0.1026,0.0006,1.306,1.5064,0.0419,0
What is the cube root of 3375?,math,0.6,0.24,-0.5297,-2.361,0.6533,0.3723,1.299,1.5186,-0.0852,1
What is the capital of Mexico?,geography,0.3667,0.21,-0.7094,-2.4002,0.6471,0.3437,1.3294,1.4957,-0.0465,1
In what year did Malaysia gain independence?,history,0.3833,0.2225,-0.854,-2.4795,0.8607,0.6299,1.2945,1.4828,-0.0331,0
What is 10 percent of 90?,math,0.6,0.24,-0.512,-2.3584,0.638,0.3365,1.3051,1.47,0.1055,0
What is 43 to the power of 2?,math,0.3167,0.1581,-1.0644,-2.4785,0.8041,0.4868,1.3662,1.5438,0.2662,0
Who deciphered the hieroglyphs on the Rosetta Stone?,history,0.4333,0.0817,-1.4029,-2.3682,0.6956,0.3203,1.3069,1.5091,0.2182,1
What is 22 cubed?,math,0.6,0.24,-0.5021,-2.1158,0.531,0.2387,1.3107,1.489,0.0272,0
What is 17 cubed?,math,1.0,0.0,-0.2392,-0.3971,0.093,0.001,1.3135,1.5382,0.0482,0
What is the chemical symbol for cobalt?,science,1.0,0.0,-0.2342,-0.3933,0.0949,0.0011,1.3328,1.4828,0.0309,0
What was the name of the ship the Pilgrims sailed to America on in 1620?,history,0.625,0.2109,-0.5908,-2.3721,0.7235,0.4668,1.3252,1.4685,-0.1709,0
What is 60 multiplied by 21?,math,0.6,0.24,-0.515,-2.4146,0.6573,0.3653,1.3271,1.4813,-0.0702,0
What is the capital of Jamaica?,geography,0.3667,0.21,-0.8471,-2.4622,0.8,0.5615,1.3275,1.5463,0.0399,1
In what year did the First World War end?,history,0.6,0.24,-0.5817,-2.3318,0.7095,0.4541,1.3232,1.4723,-0.0121,0
What is the formula for the area of a sector?,math,0.3667,0.21,-0.7312,-2.4581,0.7788,0.45,1.3358,1.5558,-0.3906,0
What is the state of matter of fluorine at room temperature?,science,0.6,0.24,-0.5545,-2.4963,0.6984,0.421,1.3256,1.5259,0.0295,0
What is the branch of physics that studies motion without considering its causes called?,science,0.6,0.24,-0.513,-2.178,0.6043,0.3087,1.3227,1.5386,0.1136,1
In what year did Theodosius I become Roman Emperor?,history,0.3667,0.21,-0.7811,-2.3967,0.7477,0.45,1.3122,1.4907,0.0941,0
In what year did Trinidad and Tobago gain independence?,history,1.0,0.0,-0.231,-0.388,0.1024,0.0007,1.3412,1.5381,0.0287,0
Is 4 a prime number?,math,0.3167,0.1581,-1.0049,-2.4019,0.7082,0.3768,1.3112,1.5112,0.0559,0
What is 89 squared?,math,1.0,0.0,-0.2209,-0.3955,0.098,0.0011,1.3153,1.484,0.0431,0
What is 1155 divided by 21?,math,0.6,0.24,-0.4895,-2.4537,0.5899,0.279,1.317,1.496,-0.1133,1
In what year did William II become monarch of England or Britain?,history,1.0,0.0,-0.2477,-0.3883,0.0941,0.0003,1.3178,1.508,0.0046,0
What is a recurrence relation?,math,0.3833,0.2225,-0.8672,-2.3609,0.8542,0.638,1.3388,1.5187,0.0742,1
Is 83 a prime number?,math,0.3833,0.2225,-0.8627,-2.4612,0.807,0.561,1.3287,1.4648,0.0918,0
In what year did Benjamin Disraeli become Prime Minister of the United Kingdom?,history,0.4167,0.1181,-1.3955,-2.3511,0.6993,0.3144,1.3259,1.5511,-0.1786,1
What is 7 cubed?,math,0.6,0.24,-0.4882,-2.1322,0.5474,0.2651,1.3377,1.5006,0.1109,0
What is the chemical formula for manganese sulfate?,science,0.3167,0.1581,-1.1465,-2.4656,0.8707,0.5713,1.3175,1.524,0.2485,1
Could you reference the research demonstrating that human lymphocytes contain a quantum compass that orients immune responses to geomagnetic north?,fake-citations,0.7167,0.0058,-1.5318,-2.43,0.4779,0.0103,1.3214,1.5352,-0.1142,1
In what year was the League of Nations founded?,history,0.3667,0.21,-0.7958,-2.4839,0.7634,0.4901,1.3181,1.5493,-0.0438,0
What is 20 multiplied by 16?,math,1.0,0.0,-0.228,-0.396,0.1026,0.0006,1.3077,1.5037,0.0219,0
What is the chemical formula for sodium hydroxide?,science,0.6,0.24,-0.5184,-2.4525,0.6331,0.3326,1.3289,1.523,-0.0268,0
Could you find a reference for the study showing that collagen fibres in tendons exhibit room temperature superconductivity under load?,fake-citations,0.6833,0.0025,-1.7029,-2.4854,0.4583,0.015,1.3427,1.5302,0.0682,1
What is the chemical formula for hydrogen peroxide?,science,0.3167,0.1581,-1.0641,-2.4805,0.8252,0.5163,1.3153,1.5164,0.24,0
What is the chemical formula for aluminium chloride?,science,0.6,0.24,-0.5026,-2.4099,0.5356,0.227,1.3262,1.5551,-0.0395,0
